DIS_TO_COST,DIS_TO_CONSUME_OF_DELIVERY,CHARGE_CONSUME,DIS_TO_CHARGE,BATTERY_CAPACITY_OF_DELIVERY,ORGAN_CAPACITY_OF_DELIVERY,SPEED_OF_DELIVERY,COST_OF_DELIVERY,BATTERY_CAPACITY_OF_CHARGE,SPEED_OF_CHARGE,COST_OF_CHARGE
1,1,3,3,150,15,1,100,1000,3,1000
点的数量,cost,运行时间,最佳解轮数,总共运行轮次
0,1332,56.75174239999615,5,15
1,460,50.211560300085694,3,13
2,451,46.44468039995991,2,12
3,1525,49.71961269993335,3,13
4,1319,25.460135799949057,0,6
5,1316,50.91852329997346,5,13
6,1549,51.74809789995197,3,13
7,1542,60.386570399976335,4,15
8,1587,89.00302309996914,10,23
9,1494,74.94018390006386,5,19
10,1653,102.12520899996161,12,28
11,1690,63.82588399993256,0,16
12,1610,164.01734100002795,25,43
13,1796,94.47596959990915,4,24
14,1887,95.26572060002945,4,24
15,1827,157.91689410002436,24,45
16,1785,109.88876799994614,9,30
17,2015,168.74561079998966,22,45
18,2129,194.51080430008005,30,51
19,1965,106.63369509996846,6,28
20,894,223.58000299998093,30,55
21,2052,161.54240020003635,11,39
22,2041,237.016334899934,28,57
23,2243,139.2902691999916,4,33
24,1353,155.42716600000858,17,43
25,2211,130.0532573000528,9,35
